C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|왜 거기 멍하니 서 있는 거야? 너무 감동해서 말조차 안 나오는 건 아니겠지? 그래, 맞아. 네 앞에 서 있는 내가 바로 폰타인의 슈퍼스타 푸리나야. 내 스케줄이 얼마나 빡빡한데, 나랑 약속을 잡은 걸 행운으로 알라구
C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|티타임은 숙녀의 필수 과목이야. 티타임 예절을 배우고 싶다면 내가 가르쳐 줄게
C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|따분하네. 뭐 재밌는 일 없나?
C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|휴, 인기가 너무 많은 것도 골치 아프다니까. 이놈의 인기란
C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|비가 엄청 많이 오네! 잠깐, 설마 여기까지 잠기진 않겠지?
C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|우와, 촬영하기 좋은 경치네
C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|햇빛이 무대 조명만큼 뜨겁네. 해가 하나뿐이라서 다행이야
C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|「바람을 타고 온 불안한 소리가 들려? 그건 사람들에게 잊힌 바다 괴수가 악몽을 꿀 때 내는 잠꼬대야」 왜 악몽을 꾸는 거냐고? 음… 공포는 퍼지니까?
C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|황량하기 그지없네. 이 몸이 물의 은혜를 베풀어 주겠어!
C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|좋은 아침이야… 근데 꼭 이렇게 일찍 일어나야 해? 조금 더 자도 괜찮을 것 같은데…
C:/Users/user/Desktop/furina_project/vits/dataset/wavs\voice_1.wav|안녕! 내 케이크는 어딨어? 뭐어, 아침에 먹지 않았냐고? 그건 벌써 한~참 전의 일이잖아!
